Sr.NO,shortName,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,grossProfits,freeCashflow,currentPrice,earningsGrowth,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,quoteType,symbol,enterpriseToRevenue,enterpriseToEbitda,forwardEps,sharesOutstanding,bookValue,trailingEps,priceToBook,heldPercentInsiders,enterpriseValue,earningsQuarterlyGrowth,pegRatio,forwardPE,marketCap
230,Arthur J. Gallagher & Co.,Insurance Brokers,0.24449,0.12168,0.3659,1506099968,0.165,0.17953,1887900032,2510500000,829587520,168.06,0.178,1.298,0.03556,68.386,0.13818,2735099904,5792399872,7721699840,13.195,USD,38.812,0.956,EQUITY,AJG,4.897,20.028,5.97,207278000,40.623,4.622,4.137065,0.00879,37811757056,0.275,2.53,28.150755,34835140608
231,"Yum! Brands, Inc.",Restaurants,0.34948003,0.23922001,0.48086,1706000000,0.084,0.32457,2300999936,3166000000,1037249984,119.62,0.016,1.083,0.22603,,,486000000,12218999808,6584000000,1.682,USD,22.168,0.8,EQUITY,YUM,6.993,20.01,4.95,293132992,-26.718,5.178,,0.0016500001,46043713536,-0.006,1.98,24.165659,35064569856
232,"Ameriprise Financial, Inc.",Asset Management,0.3186,0.20531,0.56446,3324999936,0.18,0.31131,4283000064,7588000000,-6342249984,314.63,3.175,3.219,0.0153,67.564,0.47784,8378999808,3840999936,13443000320,75.656,USD,114.604,2.485,EQUITY,AMP,2.055,6.45,24.64,111890000,50.775,18.396,6.196553,0.00307,27624075264,2.96,0.57,12.769075,35203952640
233,"Align Technology, Inc.",Medical Devices,0.27372,0.19532,0.74264,1172544000,0.236,0.24702999,1081921280,2935355000,796417024,430.44,0.205,1.296,0.11331,2.834,0.22518998,1171341952,102656000,3952583936,14.872,USD,50.085,1.075,EQUITY,ALGN,9.805,35.819,13.42,78853104,44.6,9.278,9.651121,0.06697,38753439744,0.201,1.3,32.074516,33941530624
234,"AvalonBay Communities, Inc.",REIT—Residential,0.59384,0.4437,0.62441003,1169282944,0.026,0.26909,1352054016,1479342000,975169280,247.24,-0.462,1.045,0.01983,73.709,0.09413,325692992,7954226176,2276797952,2.335,USD,16.342,0.483,EQUITY,AVB,18.985,31.969,3.92,139740992,77.382,7.235,3.195058,0.00324,43223908352,-0.466,17.38,63.07143,34549563392
236,Public Service Enterprise Group,Utilities—Diversified,0.33844003,-0.073,0.28419,1763000064,-0.197,0.17766,3068999936,3432000000,-2904124928,68.31,,0.841,0.02034,141.986,-0.04427,1811000064,19975999488,9068000256,3.581,USD,17.992,0.423,EQUITY,PEG,5.683,16.792,3.47,505664000,27.915,-1.315,2.4470713,0.00154,51533746176,,5.44,19.685879,34541907968
237,"T. Rowe Price Group, Inc.",Asset Management,0.51444,0.40183997,0.60985,3452000000,0.132,0.48773998,3946700032,4678700000,2753187584,148.92,-0.045,1.569,0.20188999,3.537,0.31743,1523100032,362700000,7671900160,6.678,USD,33.857,1.569,EQUITY,TROW,4.134,8.037,13.35,229198000,36.523,13.27,4.0774307,0.01585,31718543360,-0.055,1.26,11.155056,34132166656
238,Halliburton Company,Oil & Gas Equipment & Services,0.16520001,0.02792,0.05549,1867000064,0.297,0.10193,2355000064,1040000000,1290749952,38.9,,2.39,0.04335,180.941,0.07599,2632000000,10300999680,14254999552,2.94,USD,16.017,1.56,EQUITY,HAL,2.136,12.927,1.7,895116032,6.355,0.447,6.121165,0.0029300002,30443802624,,0.4,22.882353,34820014080
239,eBay Inc.,Internet Retail,0.29798,1.07049,0.72732,3121999872,0.108,0.25193,3475000064,7798000000,2165750016,57.42,-0.575,3.353,0.07703,85.034,0.28445998,14561000448,9306999808,11662000128,23.26,USD,17.341,2.874,EQUITY,EBAY,3.011,10.106,4.52,626003968,17.291,18.281,3.3208025,0.03967,35116982272,-0.602,1.31,12.70354,35945148416
240,"Verisk Analytics, Inc.",Consulting Services,0.44789,0.23778,0.64252996,1216099968,0.08,0.35978,1319500032,1790700000,820774976,208,0.107,0.507,0.08902001,124.735,0.27185,306700000,3409999872,2945999872,1.903,USD,18.166,0.432,EQUITY,VRSK,13.19,29.448,5.98,161160992,16.816,4.28,12.369172,0.010629999,38857011200,0.086,4.32,34.782608,33521485824
